,content
14961,"I worked more today than I did yesterday, but my time card says that I worked the same....  oh well... Hello weekend!"
33587,"@souljaboytellem aw, that's cute"
11168,@DebiLayne i know!! No money for pedicures!!
25962,"@Its_Claire now I wanna get me some warp pants,,,,"
5842,I did many things but missed tweeting
14448,"http://twitpic.com/67jq9 - i'm really missing this place  my grandparents are living there, on the calm country! but im coming to them ..."
29181,Viviann's all minee. Yummm
9150,I so hate riding the bus. 1) It's a damn sauna in the summer! 2) Like could it kill the guy a few seats up to shower once a month??
4771,@woodywoodford unfortunately I didn't leave the house in time
22886,"Just leaving rainy forks, starting the long journey home! Rachel, if ur reading this, dont worry il send the stuff as soon as i get back"
21525,"@thorney1 I forget, are you in Edinburgh? Check out EdinburghAC.org.uk"
4551,No u guys! @jonathanrknight said California in an angry tweet to perez hilton! Jonathan was so upset he spelled California wrong
12266,"@tommcfly say hi to me, i'm depressed cause i cant see you"
28005,"@thisisbenwood -  I wanna go see them in Edinburgh  won't happen though haha , yir lucky! And have funnnn  xxx"
752,Wishes you had teased me with movie night
20066,@DavidArchie I'm watching some of your videos in YouTube. You're funny David.  Oh and TALENTED of course!
15337,can't go to the movies today
32077,@MIKEMAYER me too!
24991,"@Amy_E_W Thank you, Ill try not to!"
36140,"@trippingtracy if there's a pow wow in the chicago area, definitely check it out, they're so fun! Happy Mother's Day"
26635,@Nawarii22 ur welcome  u finished ur speech (typed it and written notes)
25764,indian or the cowboy? actually considering going to the carnival
7671,@charlieskies your vid wont play  x
30327,"@rubydoor hi ruby, u said u were painting yesterday (i think, lose track of time) what are you painting? can we know the concept/subject?"
29614,"@dwight_davis Are you headed to a conference?  Oh and if you're doing the book buying ban, you can always borrow, right?"
19563,I have trouble with Starship troopers. They're mean to the great big pink bug.
8907,I hate the dentist
31307,i am so going to see transformers on imax.   SO EXCITED!!!
24057,@jeffmello I did sales training for a couple of the papers. They paid my bills for a bit.
22968,"didn't twitter much yesterday.apologizes for not responding,goodnight"
14581,In a period of exams days are for study and nights for study and sleep... no funny time...
27337,"'k, going to curl up and watch random mind-numbing DVD in hopes that rest will cure runny nose. Night folks"
27676,"@petewentz wow, i can sleep with my eyes open, tis amaze *i lie*"
5535,I've got no idea how to reach the birthday brunch location.. Roads around west Jkt? Clueless
35796,addict to &quot;long time gone&quot;
11580,@nickjfrost that's what i tell everyone! their food is the WORST! no one understands my horror.
9593,"@megpriley I am sorry I never got back to you about going to Vegas this weekend, when you asked me forever ago.  Have fun and good luck!!!"
32811,&quot;Never give up on something you can't go a day without thinking about.&quot; I like that quote.
2734,@DaveDeRoo hardly :/ some of my furniture is being shipped from who knows where and is backordered  I may cancel and shop local.
26044,"@schwammy LOL! based on my last post then, I'll plan on using you as a reference"
6760,sucks that i don't have a drawing tablet!
29411,1 John is an amazing book. Just what I needed to brighten my mood.
22455,@LeaLunacy Make a videoblog!
19512,@keeleykerrins Dear god i hope they save it.  http://www.the-impossible-project.com/
6368,"Damn, need to replace MacBook display. CHF 670 for work and hardware - almost half of the MB price"
19405,28ï¿½ in VanCity? Holy shizz. I will be home soon kids!
16708,ugh! looks like it can rain any min now
36475,trying this out with my sweet lil iPod... I am totally nerding out. and... totally ok with it
8261,Epsilon Greater than Zero misses her Mommy.  http://apps.facebook.com/catbook/profile/view/5626035
30807,Finally at home
934,"I have drunk hickups. I had a pretty laid back, great night. But I still can't help but be mad about the situation I put myself in"
10258,What up ab circle! Anddd It's still in the box  f work
20752,"@myucan91 wahahahaha!! i wanna naaaaa!!! well...hapit na i guess. hahahaha ) yes, now we all know!!! hahahaha lol ) NARN! haha joke"
489,In the Hongkong International Airport. Has to wait for 3-4 hours for our next flight to Cebu.
5181,Just went with Kerri to her locker for the last time.
35195,"@iamjonathancook goodnight, God bless"
36898,@fashion_retweet I do my best - that's why running skirts are on the scene as well
23496,"@stripedshirt errr ok, most people have their espressos in the morning, ice latte at noon and warm latte in the evening!"
28935,@TEAMLUDAJUICE you are just wrong!!! Now you've come to brag with a full belly??? Smh ...
26965,@sugarghc heyy sweety  how did it go at advanced training? waht r u doing?? *hugz*xxxxxxxxxx
4440,I've burnt my collerbone and arms and face! aww!
20567,"it's a perfect day to throw back your head and kiss it all good bye - love it, so cheerful!!  ? http://blip.fm/~5jckp"
24735,@jeffsgrippen i work in youth justice
30397,"Christa's Mothers Day card, deep in the build phase.   - Photo: http://bkite.com/07k6e"
8003,possibly going out tonight; is there ANYTHING to do in Lancaster? I miss Baltimore
20800,Ill have a photo up tomorrow! Kay
28534,show time baby! bye bye for now Tweeters
30248,@krigeren It's been interesting today... to say the least. Overall a good day
8672,@sunflower_seeds dude don't say that
21093,any aussies online? Check out today tonight on Channel 7 .. Very handsome man on tonight ...
38085,"My frist post... Off to find a new car for my parents, exciting!"
7988,Bit devastated that I lost my entire documents folder on my home computer.
38658,"Mother's Day breakfast is over, getting back to work now. Back on Rails"
34845,@dmcox fantastic day in the AZ sun
22092,@keza34 yummy curry  save me some please lol
38209,Robbie Wadge where are you? Does anyone know Robbie? Calling Robbie!
11623,@daynah it doesn't work with the iPhone yet   I love it for the simplicity but I need to be able to sort tasks on my iPhone to be useful
37988,"i hate snoring. remind me if my future husband ever snores, we're getting a divorce."
22421,"@HellenBach good stuff, cant wait for the results"
3997,wow.. tomorrow and then it's over. i'll never see some of those people again. it's kind of sad.
20126,You won't believe how long this took to achieve... Still all done and my car is happy again  - Photo: http://bkite.com/0783l
15837,@chrisreinhard screenshots? can't give you any other kind of preview - you'd need VPN access  ...ya wanna?
8266,At the DMV
18748,STILL NOT DONE WITH PAYROLL. was supposed to be off at 4:30. i have a headache
21460,@spontaneo is there ANYTHING good about our country?
25224,@gay_emo_zac and a good morning from france to my zaccie
34165,@fiascowines oh oh oh are you offering to send ducks!  I love love love confit duck
11921,i have perused the #fieldnotes website and it is good.  too bad i must return to work
35685,Had fun early night Vegas because Pool tomorrow
10833,quick catch up on missed Neighbours ... poor Libby
33450,is getting baptized tomorrow  and is a college graduate.  Busy weekend!
36975,"@curioustwibbit Makes sense, I'd totally show off a girlfriend by asking her to wear her high school prom dress"
7314,@FancyFran Yea its nice! But im only here for a weekend!
15628,@dorkita buu i didn't get it right  plop! i was so close... &quot;URBAN&quot;
23731,@missgiggly Go the bubble bath!!!  Always relaxing.......
7423,@skybluetom4 Ha Ha thanks Tom! I'm such a loser! Hopefully going on the 22nd June till 3rd July...what date u goin? u missing helen?  x
28595,@PerezRevenge Aww ya not showing off all us mums should be proud of ours kids and let everyone know it
27221,@ComedyQueen LOL it's overcast but otherwise ok. I'm tired but otherwise ok
37284,At Home
16727,@nkangel74 Yeah I hate that too!!!! Sorry ur goin thru that
37801,"One for the Mum's - HAPPY MOTHERS DAY! &amp; a special mention 4 one of our newest members: @Holly_Jane, Hope @DHughesy was good 4 u &amp; 2 u"
22851,@abledragon The geek in me won.  I am building my own photoblog theme...
2111,"I read the disclaimer, I had to close my browser  http://tinyurl.com/n28lr3"
38537,finally made it to the QC...happy mother's day!  got my car!!
32285,"@ssnape Yes, though perhaps I wasn't thinking. I like vague. It seems a popper term for you."
37618,I'd rather sit on a bench with a friendly psychiatric patient than go a party with some &quot;cool&quot; person
15180,@ShaunCallahan wowzers! thanks! bang bang misses you on the dance floor
4946,is awake.  Still feeling sick.     But I got the blog done at least. http://plurk.com/p/x17t9
38934,"your the voice i hear inside my head, the reason that i'm singing, i gotta find you, i need to find you"
5954,OMGoodness back to school soon FUN!
26532,were you born in a barn? would you like some hay? 8-)(8) youtube the mother song
39397,actually did progressive studying today..
18077,"@MirandaBuzzfans dont worry, i will. i HATE it when nobody comments on my pics"
8170,My trip to Igbaras will be postponed to next week
35284,@khasabadmemory thanks for teaching me how to play a part of that song
39792,"@JohnBirmingham Yay, so the nekkid writing is working then?You keep warm now! Am in awe of the 6k - am always cactus by 5. Good luck"
25029,"@RiceRabbit Looks like you've had another culinary success, Sarah."
38002,He's a mess. But iLove him
24274,"Especially hard to get out of bed with myself this morn Cuz I'm hot  , Now running late stuck in front of the mirror checking Myself Out"
23557,going offline. buhbye twit
36497,wooh! 100th tweet  i have no life xD
17276,my attempt to sync facebook and twitter seems to have failed
7365,I found out thro mama
6266,"@thenk83 I've been waiting about the same time to get in, its whenever they feel like it..."
27457,http://twitpic.com/4jjy9 - @PaulaMacKay@AnotherJulia This morning view from my back deck
15377,"i feel like a bright, new t-shirt.. wish i had one."
24116,School -.- I'm arrange for the design of the blog to a friend! I think it's looks good  http://xoxoeternity.blogg.no/
1323,"bored, nothing to do"
19129,@kakrisch im jealous.  im slaving away at the store and youre chilling on the boat.
29885,About to embark on a large tour of bars for a project.  Hopefully I won't die from alcohol poisoning
31684,"&quot;Bad words are a crutch, they lead to tattoos and peircings!&quot;  Hahahaha!"
14938,@atraiocatharsis dont ignore me
37938,@devyra hahahaha definitely!  still writing?
1408,What a busy day ... am disappointed that today's show is a repeat
29138,off to sleep  on 2 katy perry songs as soundtrack  x
24225,@andrewdisley @patrick_h_lauke Sefton Park in Liverpool would be good... and 200m down the road from me
17632,@EmilyKSalcedo Flew home from London to NI to catch up with the family and caption a show ... Everyone went to bed early and left me!!
26377,Hell yeah Kellynn got a Twitter. Finally.
39246,hmm icecream for breakfast  #springtime
10821,My best friend is in vegas without me
39285,Seeing 'Love at the Club' actually made me
37987,@drhodenbaugh Yes Hindustan Rocks dude! Dunia mein asay koi fusion nehi milegi
25558,"@skingirl69 yeah, i'm so excited."
28913,@Mariah1221 oh n shouldn't you be shopping for a lovely gift for your delightful mother.
2647,"http://is.gd/IQ03 Microsoft has released Zune also in Europe, no HD for us"
26988,@larrybenet Just DMed you your login details for the Twitter Salvation System. Enjoy! do let me know what u think.
21012,@dbldbl no not yet...
25833,"I meant to say that I have created my profile on twitter lol, I will begin twittering today  Thanx 4 all who showed up to Jay Bday Bash !"
22892,now twittering
22722,morning twit-friends! welcome to my new followers
13929,@mfhorne why go winchester when my sister doesnt go there any more!   bad times.. x
24368,@thomasapdewi he always brightens up &quot;the week&quot; ?
18669,@hookedonheat what was it? I missed it.
29170,"@imjstsayin Im doing ok.  I have a 15 year old going on 35 that is driving me crazy, but that comes with the territory, I guess."
27703,"math is all that is left for the day, then the DMV"
16780,@summersunrays that's sad
4949,ughhhhhhhhhhhh  :/
19661,Forced to eat red hotdogs coz I'm starving and there's nothing else for breakfast. Ick.
17984,been awake 19 hours
19296,@momneedstherapy - So sorry Ambien got sick.  Perhaps work her ashes into the garden with a catnip plant?
38830,"@NYBabe No ways. If you can nab a youngster, go for it! My best friend swears by younger men - apparantly they can go for longer too!"
5884,"@lifeasiceyit Yessum.  We'll see how this year goes... maybe I can head back in Oct, when the rates go down. I wanted to go for my bday"
19297,@WayneDaStar that's a mess  I'll look for it next week
19089,@maryviolet I miss standing next to you...
4863,Getting ready for week  Its too nice today to be stuck inside working!
12768,"@redbloc whats twhirl? I've some work to be doing over the weekend thank god so I'm probably going to miss it red, sorry"
34504,and it is raining in Denver. of COURSE it is
28111,just realized i have 30 followers HEY GUYS
15541,I dont understand why he's doing this
14639,@TheoLykos OMG I WANT TO GO TO THE BEACH!!!
33710,you've got to read it downwards for it to make sense.
4972,"@RichardMadeley Oh, final msg - Why didn't you review my boardgame Bookchaseï¿½ when you were on telly? We didn't even get a nice letter.."
19962,lonely
38508,Happy Mothers Day
39073,@__Parasite__ haha im always turned off by coontails...so it kinda kills me XD i like the spikes though
7568,#followfriday @RoRuby although she doesnt consider me a sweetheart to
18243,7pm and I'm just now leaving my desk.  And just last week I was on a safari. My how time flies.  What's good for the weekend? JBII
16997,"Rehearsal is done  we had SO MUCH FUUN. hide&amp;seek tag and we learned BOMB DANCES , going home and doing hw maybe!"
5030,@AsherUK i wanted to go for my birthday...
34564,that's enough! I'll do nothing for 2 hours.
251,"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only"
19393,@AwesomeKenn lame right?  do u know what dates you'll be in Cali?
33421,had a fun day at the theatre... glad to be back in town for a while
18214,WHY DOES MY COUSIN PICK TODAY TO NOT TURN UP EARLY
12743,Traffic jam outside of chicago. I feel very &quot;office space&quot; right now.
36316,BWAHAHAHAHA! Shut the fuck up... @BarryManilow is TOTES following me right now! Who made the account? Made me giggle like a school girl!
7362,This is a joke surely? http://prune.it/WEAt
14461,"ï¿½ miss my future, ï¿½ wanna see her  ï¿½ for damn sure don't wanna wait til monday"
8384,Is working allll weeekend
23143,http://twitpic.com/4jcfg - About to cycle within this quarry on Shipley glen near Baildon moor before heading back through the woods
35529,And on that note im going to bed happy mother's day to my mommy +&amp; all the other mom's out there love u lady
35672,@joshtastic1 Going to see Star Trek
15155,Has a headache
2546,@bbyowls i know   but its better than nothing
18790,"Last Heroes ep until Sept  Sick &amp; drugged for past 3 days. Dr says lacking in everything, esp -get this- SUNSHINE."
964,@professor12 gray! .... i so feel neglected
22758,@rahulgoyal1986 Thank you.  I love my tattoos they are all very special to me xx My feet ones are beautiful  xx
2460,"Google Wave presentation: http://bit.ly/2ehfov  I'm not very impressed. It's nice, but it's not really for me"
14249,"@thedinnerlady  I could never do that to one of my children, look what happened to Nina Zavaroni (sp) Brooke Shields and Drew Barrymore"
6991,"fact is i am a bad cook, those ships weren't cooked, and neither is this chicken"
11946,"I got to feel the belly, but not the baby."
36271,@deedeedet i know. i need to get their cd somewhere.. hopefully they sell it here in finland.
20747,"Thanks to all the new followers  Well, I went to a strip club tonight and its 4am so I'll follow you tomorrow. Much love."
38866,@davidarchie needs to make plans to come back to uk! yest he made my year  love him xo
36340,Does anyone still play N64 anymore? or Super Nintendo? Weren't those days the best? haha. So many flashbacks!
30746,@genuinecasper Ur friend @Laradolilly sent me
21854,Where art thou @niokiaquino? I miss you!
5847,@CheeHsien IT WAS JAM ALL OVER THE ISLAND! Till I'm havin migraine now!
219,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation."
13580,@Lakers Stu Lantz is awesome! I miss Chick Hearn tho
36982,Happy Mommy's  Day to all you moms
18288,Thinking about Debra leaving in July.
19727,"@pleazurs Woot freaking hoo, tho Mad World isn't doing well on the iTunes top #100 chart."
25963,@DH_Photography Good Morning! Hope you have a great day!!
4487,might have to go back much earlier than expected. bye bye bay area
4576,@hollypop04 mmm  Where is it Holly?
3507,@iPat143  hmm.. idk that song.
33578,"@babyvtec lol - that's what hubby's are there for, to think their wives are nuts."
24378,"@colinkelly all the more reason to do ur highers later in life,vodka is a great study aid.45xy + 54pq=a 70 ml measure.I got an A in Maths"
17501,@AnnaDiFilippo have fun without me pasty  &lt;33
22262,"@imogenheap AM's good for us GMT-ish people, I think.  Looking forward to it and hope you're batteries &amp; laptop will be recharged soon."
24734,is back here in plurk.  http://plurk.com/p/rq5ru
8759,was laughed at today for being too hopeful with the things...
34030,"@DawnRichard Awww, that's nice.  You both make a really beautiful couple, you balance each other."
10671,CAKE is sold out at terminal 5
37434,DIVERSITY DIVERSITY DIVERSITY TODAYYYYYY!!!!!!!!!!!!!
20501,@TheEngTeacher I did for years and then moved over to an IBM compatible.  Would love to have both on my desk!   Can you call me a techie?
17136,First sports banquet without katie
8904,Flash lost my frisby on a roof. Sad days LOL
27119,"@StaceysJustFab blackberry messenger rocks! Its basically IM-ing with other BB users that u add, so like ur friends. Saves on texts"
36035,HAPPY MOTHERS DAY TO ALL THE MOMS OUT THERE !!!
4400,@EsmeACullen AWWWWWWW you totally rock...I felt all  and now I'm the happiest girl eva!
22775,eating Nesquick cereal - 1st time since i was like 10 - good times
38315,@jsrobertojr uh-oh...you're creeping up on my 4th spot! hahaha.
21412,@sickophantikmnd Exactly! Silent treatment is a great torture method
26042,ok I promise to become interesting if you follow me
27196,"@jill777 Morning! I saw that! Ridic!  Not only insane but stupid, esp in this weather! So glad we don't have to do that!"
6141,@Alice286 lucky girl!!! I work all day tomorrow! and maybe even Monday!!
2446,I was looking forward to seeing @PapaRoach in Raleigh (fan for 10 years NB too) but scalpers took the tix and sell them for $200  morons
27784,Has finally mastered the art to uploading a photo on said Twitter. You can no longer assume I'm a heffer
37069,@iamsemmi Im Drinking Right Now  Hot Tea and Honey!... Take care u too
25012,Presenting today...hope it leads to the ability to move up one day
23569,drove to work with my Vespa through the pouring rain. The rain overall was keeping me dry
23644,@ashhh_x Yepp.  Do you Like Dylan or Cole Better?
37747,Good Morning  Jess here  Just wanted to say thank you to everyone following us  tell your friends about us please  xxx
36051,"is back from the play cafe, was great to enjoy a coffee while the boys played, have some Rose choccies for later when the boys are in bed"
30743,happy sunday all
3902,today is going to be AH. Giving notice to my boss today. She is going to be upset  I'm totally stressed.
3480,"@filanfurball sorry bout 2day  bloody typical,goin 4 a laydown now feel sick again,ooo this not nice x"
33413,I have a license and a car..at least for now.
29038,@Mrjaydeeone yes I've been told that I have a problem with stuff like that
37695,@MyCaribbeanFood enjoy and congrats! thanks for the recipe we'll do it tomorrow morning.
16495,"@tommcfly &gt;&gt;i donï¿½t live in UK, so I canï¿½t say what i think..."
2847,"Oh ffs :@ a don't get paid till monday :@:@:@ :$. Sorry william, gonna have to wait till next weekend till I give you ï¿½  :@"
37635,@hazel_joy it's entirely possible
39151,"HALLELUJAH! I've finally finished my Careers assignment! The feeling of finishing a task is great, you have no idea. Or maybe you do. lol"
2729,@BrianLimond but lorraine kelly is a sexy mama!
1775,@westonbuck i want a zune but i looove my pod  hahah
19398,is terrible at saving money..
19169,misses her phone... having no service sucks
34993,"@philritchie Boom, and if you will, boom! Saw the movie last night - really enjoyed it"
917,Wow just realized haven't checked Twitter since 9am when I saw my to-do list. Good news- got lot done. Bad news-don't know where day went
6134,Shower. Then back to bed. So sick still.
14363,Wondering if i cld make things any worse than they already are... answer.. JUST DID!!!
31796,@Custardcuppcake how is Aussie...im hopin to be there in Sydney in less than a week just got my VISA on thursday whoot whoot
32204,"@defeated possibly! NyQuil will get me through tonight though  Doctors Monday! (I hope for the swine, just so I can be on google maps)..jk"
13050,would like to have a gaming system
12260,@ThatKadyGirl every day of my life lately.    i feel ya girl &lt;3
2549,"what the hell am i doing awake this early,"
36849,just got home. Yay!  Hi guys! http://plurk.com/p/svdpu
35748,"@ThePBG look, no matter the ethnicity, women are something else!  fellas, can I get an amen? *dueces*"
23533,@coollike FAIL
17076,"Dammit, more money to spend on iPhone apps... haven't finished Wolfenstein yet  http://bit.ly/Othhv"
2584,Finally installed ovi in mobile. it would have been good if it could be downloaded to comp and installed to mobile. Frickin 3MB download
8866,@DKHOTOPIC aw
10039,@tapulous You always catch me away from my computer.  ?
21703,Cinema tonight  it is half the price on Monday ;)
15633,@vagabonddandy very bad.
13093,John at a college thing   staying home all weekend and hanging out with my momma. Sushi tonight &lt;3
31573,@PANICitsLeslie Aww that's still awesome. You had fun though I can assume.
6981,Sick  Right now very thankful for my chicken soup and my bed!
16030,"@TheMikeKelly Sorry Mike, was assuming it was music that was missing..I don't know then.. a mystery.."
3587,@ubudroi I *know*. It just took us that long to get around to it! Yes they do takeaway *and*seafood delivery. Forgot to get a menu
20104,@730Fam yeah you are right! but my mom can cook like she is straight from the island! make sure you invite me to your fam restaurant
19204,@mileycyrus  it wont let me vote even tho im signed in
5754,is sad to go to work cuz it's TermiNeda's last day...and little monkey's last day too
5036,"@LushLtd why can't i buy the new night in for toes? i see it, it's within my grasp, but it's just not bringing it to my shopping cart"
13983,Oh no! I just read they are going to do a remake of Girls Just Wanna Have Fun   Stop it hollywood-just stop!
6169,"I've got sunburnt knees... it's funny now, but I bet they'll sting later   Had a fab day though  x"
4290,@marianawerneck o que houve?
20005,http://tinyurl.com/ateltl &lt;-- Rocksteady pt II
36092,going to sleep now! Goodnight twitter!
5343,So I get up early and I feel good about the day. I walk to work and I'm feeling alright. But guess what... I don't work today.
33094,having coffee with bread. peanut butter today!
5088,well dnt really knw wot to do stay wit some 1 who doesnt want 2 b wiv me or move home to rents after 4yr of bein away
36544,liking my fake tan orange colour
35882,@Lovetogivenuts not yet. I save the pages to read for when I travel
22200,looking for models for beauty shoot THIS THURSDAY in the Valley studio  contact me if interested!
33629,Having bro-lights with g.Soll  CHEERS!  http://twitpic.com/4wjrs
23855,it was t4 i think hannah  xx
27014,@Gertbeef Nice musli bars!
22910,Is going to be off line for the rest of the day. Made some progress on a game over the weekend. @lvturner you may not like me again.
39021,@SherriEShepherd Hey Sherri! Thanx 4 da messages Wondering if u could follow me? Plzzzz
9954,bored  and sleepy and listening to music :p doing project :S
3819,@JenniferSmithCo Just checked the diary and it clashes with uSwitch.net beers
749,anyone got JBs live chat vid? i was @ school  I saw joe hug and tackle nick lol
35467,good morninï¿½everybody  happy mothers-day to every mom
9161,Head is throbbing from lack of sleep and still have mucho work. Doesn't feel like a Friday
11542,Stuck in traffic on the 91 on the way to costa mesa
31877,Sending love &amp; respect to all the mommies out in the twitterverse! You all inspire me!!
14523,@janae24 lol! y does ur tweet sound like ur voice yelling at me  lol!
5212,"And figuring out how to watch Middlesbrough games next year, after the dreaded drop."
23919,@carmenparnos thanks so much for the belated #followfriday shout out #payingitforward
14602,My sunburn itches  ouch
27306,@modernemotive Done. Thank you
19367,Oops forgot to shave my legs!  Byebye to my favorite cousin   Bklyn two nights in a row... We go hardd!!!!!!!
20086,@KatiexCobraYo awww boo! I fucking lovee doing all the girly thingss
13750,Its so obvious Holly will go thru on the public vote straight away.. SOOO obvious.  Then Aidan and Greg for judges but neither should go
26178,@deberito Beto's Pizzeria is on Banksville Rd in I believe the Beachview area... Sorry to answer like 100 years later
33428,@ubernostrum I really ought to pay more attention to my phone tweets... Sure! The more moives the better.
36144,Good Morning  Plan for the day: Church followed by F1 &amp; lunch at mum &amp; dads. Then DM discussions of Star Trek!
7425,Pressly Anne Hamm misses her mommy while she is in Texas  http://apps.facebook.com/dogbook/profile/view/6480360
13628,@ursusfidelis sry about tweeting so much
27294,@Dana_Willhoit Hoping your A/C is being fixed right now for you!
36224,@spanglegluppet thank you for the link! it explains a lot! and I'm glad you're feeling good! I've a friend coming tomorrow. will be fun!
15511,This day is fkn UGLY &amp; it matches my mood  unfortunatly. Time 2 blast off 2 the moon
26971,@MsMandyMay Awesome pics! It's a nice way to start the week
9991,@cowmage  read something happy?
7033,@FunkeyGurlNo1 I'm going to work.... bummer
30961,I have found the best songd to have stuck in my head are relient k songs...I know every word and can finish them
3555,I dreamt someone committed suicide w a drip stand!  - http://tweet.sg
6163,Then back to fucking school
38408,Awake. Husband snoring faintly by my side. So happy
20609,Looking at our photo shoot pics...check out our myspace pics to see them...i love them all...
2659,"Is so freaking bored on the bus. Hate being poor, ï¿½4.80 return for a 10 min train or ï¿½2 return for an HOUR long bus.ipod has no battery 2"
20876,@willcarling So who's going to win the Heineken Cup?  Just need to know who *not* to bet on
2223,@JasonVonBerg thats the crazy part - was for 16:30. but reasons include &quot;full schedule&quot; &amp; &quot;travelling with his daughter&quot;... So. Not. Cool
28116,@LilzCREATiONS thanx for showin luv
7441,"How did I manage to schedule all my bills to eat my money all at the same time?  EVE, rent and phone are all within a couple days -.-"
21956,@Gjerninger Are you sure you want to know?  It's http://bit.ly/AUuAC - it makes me want to run. In other news: Happy Star Wars Day!
8861,"@marcusbetts lol, I know how you feel, but with 4 kids and my current work load, I am maxed out with no time to grow things."
28599,Dyed my hair. .&quot;back to black&quot;
16735,"Two months ago, I became irrelevant."
21249,Signup for Dojo workshop in Munich (http://tinyurl.com/ct83ub ) ends today. Hurry up
33854,"THIS IS ORIGINAL FROM YOURS TRULY...  &quot;If you want to become wealthy, learn the things most ppl say they don't have time for&quot; -ME"
10353,Senior video in mustang update. I'm gonna cry
36563,@4boys4now denial can be very powerful
5850,@craftyasparagus And.. it's raining here
23084,"everybody look at my new profile picture, just click it on my profile"
15611,@hiaudreygrace NOOOOO!!!!!!! We have to do something immediately. I'm leaving in 2 weeks!!!
39166,"@Swedish_em I'm ok I guess. talking to - biiip - right now, or..on sms. haha well, how are you?"
15277,"@flyzik awe! i miss him so much. they're on &quot;vacation&quot;. which has lasted for like, six months. and i miss you!"
35089,"@Icametumbling Yeah, I've seen that before, funny   *Hey honey, Jill just sent me a dick in a box*"
26657,On our way to St. Martin!!! Vacation for a week
26368,@dougiemcfly   god peppermint mochas frappachinos are amazing...  and addicting
277,my gap year is going so quick
30824,Wishing a Happy Mothers Day to all the wonderful Mothers out there.
7909,is wanting someone to spend her summer evening with whilst she's in such a nice relaxed mood !
37548,"@taltalush I have both her CDs and know them both by heart. Really, Tal, you think you can intro ME to country music?!"
30483,"@TrueBlue9 Venus is my fav character, too! LOL I think b/c she's strong, successful, and beautiful."
31897,Then me disliking you is a rumor!  cyndi! What made it look like i didn't like you?
4878,"nyc placements have started to come out, but it looks like upgrades might have to wait yet another two weeks for placements! dreadfully"
24533,@mombloggersclub Good morning
16947,"Thought i saw the a-trak van, turns out its the Alcohol- TEAM van."
23713,@MissMary i am so jealous!!
4191,@AdInterim Still jealous
15076,Lovin  the clean shaven Mr Flowers!  He looks so young!!!  Reminds me that I'm getting old
38345,Now I KNOW my shares are up...have 7 followers...wonderful!   The sun is now shining brightly in 'darkest Africa'...
14098,is loving the half day! If only it wasn't raining.  Soccer Practice tonightt.
9007,Finished new moon! Woo! Now i want the next one...
3842,@Dublins98Dave @doneganland has tickets.......?
6305,UGH! I have GOT TO STOP biting my nails  grrrrr
34704,@vobes WE Quite Like Worthing its a relaxing place with nice coffee shops and fresh air.. and not too many Oiks
21929,@rosehwang U R &quot;happiness pollinator&quot; 4 shizzle.   Good friend you are.. I am smiling!
9457,Just noticed @ubertwiter didn't get the location right again!  Maybe a way to preview it before sending would be handy??
15134,@mareyachristina nope  i'm bored and hungry.
16553,Then it just HAD to start raining here. ughh... (via @dusktallon) haha you died   what did you do at muskoka
985,Trying to sleep without any pills... Not working. 3am and wide awake. But now it's too late to take them because I'll sleep til 3pm
32473,Movie night with kate
38617,Happy Mother's Day to all the mothers...time for me to hit the hay! much love my tweeps!
7106,@ gadgetopia need to DM you but you're not following me.   Will send email.
25781,@thesearemydays i (L u so much  See u at school todaay!
483,@damohopo @StephanieEllen If I told you how often I wash my hair you would never speak to me again
27349,@marcmawhinney We've never heard anyone say they like doing ANYTHING on Monday mornings! You must have had an early cup of coffee or two
7681,"No more drinking for Harm   Doc is convinced that it's the cause of my PCVs (look it up).Told not to stop smoking just yet, that will come"
24014,"@cali3d congratulations, I hope you have an amazing day"
33536,is on facebook
15167,"gots my beathing suit that i ordered from victoia's secret. but i have to exchange the bottoms, so i have to wait another 2 weeks"
34233,hanging out with the goddaughters
30207,@pamslim can't wait to crack it open and no doubt will learn from it as well as support my evangelizing cubicle-freedom-ness!
24437,"Ride bmx on the beach in Burgas, after careoke night"
12842,@randiellen03 Nofair! My BK only had Uhura and Nero left.
3088,@stvwrnr i can't believe it...
31068,@wethedan its my birthday too  but its the 10th of may right now for me.. and its probably the 9th for you.. happy birthday anyway
18173,This is dumb. I keep losing followers!
8553,Can not get pictures to print without brown splotches. Must not have gotten tanks clean enough... Will have to do again prob
13495,@ddlovato or with other food like i can't put penutt butter in my bread it always broke my bread  y need to tosted TOO MUCH NOW
15577,@annaavila oh noooo.. dont cry  we'll see.. ill talk to krys... text her and see what she says.. we're both pooped.. so idk.
32838,I miss @lavren cant wait until June for HIL HANGZ~ Tonight was sososo good
19437,was just about to try and  dl the sims 3 but realize my pc don't meet the standard requirements  i need new pc lol!!!
37865,"Paul Scanlon sharing from God's Word this morning, he's sounding a bit hoarse perhaps a touch of *#cold*? It won't hold our Pastor back"
13764,"WFD: Lasagna. Still 45 minutes to go, so hungry now."
37419,"@GoonersNato - Aww, yeah, dear Nicky  ."
9597,At work as always
6627,@vivek1209    Whn r u goin to Europe?
20140,Another one popped up a human being. Congrats Nana and Wan.  Baby Iris is a cutie.
27902,Going to get some coffee
