,content_mod
22845,enjoying my bank holiday  just had a meeting with the real estate agent who will offer our amsterdam apartment for rent   
12695,wait...  and ... electrik red or richgirl?  i'm a sucker for the later   
19853,i haven't gone sheesha smoking in a loooong time  maybe tomorrow? > *starts planning*   
442, the ds version sucks   
3401, - clean   
25466,learning for school now ...   
771,"dont know why so tired today  bye, time for beddy   "
24093,also love and light to everyone else who i have not been able to fit into my last tweet  thank you all   
17247,why did everyone seem to leave me this weekend  ....sigh. in bed   
26906,"says finally, im home.     "
37250, gasp!!! i love it!!! thank you so much for sharing tim!!   
6108, mines curly atm  i want mine to be straight lmao   
34306,had a fantastic day at the beach. thanks friends  xoxo.   
39705," i don't know why but, i can only find miss matched socks during winter. i mean, where do they all go?   "
24306, whatever do you mean?   
6637,"  and em, my baby, starts kindergarten.  what a crazy summer it's going to be.   "
33527," i'm good, thanks.  hope you're enjoying the weekend!   "
12725,can't paint anymore because of the light   
4477,woke up to the sound of my neighbor getting a new roof   
22118,"just got up, couldn't sleep anymore i guess and im not really gonna go back to bed, im not really sleepy   "
21735,"jumpstart! wotd: jape qq: are you comppetitive, overcompetitive or not competitive at all? write your responses here!   "
733,2nd to last episode of jay leno  itll never be the same!  nite twitter   
11542,stuck in traffic on the 91 on the way to costa mesa   
1696,is dreading going to work  but....its friiiiiday!! whoop!!!   
12718,awww that poor little girl on bgt   
3879,went to marsee-they changed the store around & i felt as though i was interrupting the staff   
17136,first sports banquet without katie   
8911,"being tall has its ups and downs , my legs are in pain   "
14164,"dad asked my why i was sticking my tongue out while i was ironing, and i told him it was so i didn't burn my finger, as i burnt my finger   "
17867, are you still taking calls? we were next to talk to you and we got disconnected before you got now.   
27112," thanks, but the elance course is not mine! it's .   "
6466, was being sarcy as usual   
343,sad that christian lacroix had to file bankruptcy   
19834," ah the computer's not in my room  on bberry right now, and youtube charges d: !! heyy, how about you, aren't you tired xd?   "
35978,listening to some house music!(what else?) i got a gig in san francisco next friday. be there  details on my    
9708,im so full. subway was bomb! waiting for my 2nd shift to start   
36372,  yes my dear    v   
16235,phone power is dying!   
14299,i have no followers   
14674,"just missed to answer his im again! for the nth time! this is making me sad.  whenever he im (which is all the time), i am always out.   "
31178,watching a movie with sam   
36950,loving my new tv   
5651, i am lost. please help me find a good home.   
34983,"rblpn   , you know, i could listen to every version of war pigs ever recorded  ?    "
12207,car broken probably for good   
38614,finally home after a big of travelling!! ahhhhhh now time to realx!!   
5727,"  i'm sorry.....deep breaths, i started a program called panicaway...it has worked wonders.   "
1511,just awoke in a completely freaked out frantic frenzy.  it's going to be a long night.   
36213,morning tweeps  looking forward to a relaxing sunday. happy mother's day to all the moms out there!!   
38728,singing along to mychem.   
15191, what happened to your phone   
32516," awww, yeah, i love that one.  i remember seeing him at great america w/ tassi.  such a great memory   "
16427, that was so disappointing   
560, me too.  wonder if mnet will show it...   
2622,  where u goin   
13453,"i don't think that im feeling too well. all the sudden, im tired but scared to fall asleep cuz i know i will wake up sick.   "
25670,on route home! parents 35th wedding anniversary 2day.. gona take em 4 dinner  let's c if i find a woman i can be 2getha with 4 that long   
24585, good morning and thank you for the re-tweet. have a great day yourself.   
32866, going so soon? i was hoping to hear late nite humor from you....   
21854,where art thou ? i miss you!   
37489, fab new pic by the way   
37183, yayyy   
26662,well being a retired drummer i can do my own drum roll so all you need to do is read my posts since they take a ton of time  lol   
8251,motherfuck qw   
36558,what darren on linkedin? yes!   just say your a twitter friend i never idk people!    
9361, i sorry   
532, i wish i was there   
2516,where is the sunshine...the only thing i see are clouds...   
9908,"my laptop broke, who wants to help a girl out and take me to best buy this weekend. please ill feed u.   "
12103,ok. over exagerrated. twitter is not to bad.... i guess.   
29774, how much?   
34792,following some body on twitter   
10074, 5 seasons that's it? sorry just noticed in ur previous update. my sis isn't gonna be happy   
25202," p.s. culled a handful, esp followers (spam ones with nsfw links that i did not click on). you made the cut though   "
13680, hate u....  i have 2 wait one week to see it cuz here (puerto rico) is still coming soon....   
10783, yeah i kept rethinking it because noone that i knew would want to go with me lol. so i ended up just didn't buy them.   
36292,ive got the greatest boyfriend in the world. i love him so so much.   
29764," it was a biligual sweatshop lol i talk 2 him once in a while but not as much, he got an r6   "
32940, thats cool. my mom is a teacher in burbank so we're always like right there. xp ahww i wanna go to the bahamas!   
6161,im grounded tonight  i hate stupid silent mode   
1641,almost 100 cases of swine in australia. hope may still decides to come visits me   
18315,"has got the slow cooker going, now just to get ready for work   "
15039," not here for long hun, head hurts   "
35905, cool shot!   
31495, if u can smell goodness all around you and energy of big city and pinch on butt feel real yes u are in chicago   
23409, agree!   
35385, thank you!   
6784,wish i was in chicago.   
3569, you've got the h1n1 tsk tsk tsk it's a shame  haha feel better bro   
7111,the best i could do for proof of the crack  lol     
14468,didn't get a band leadership position   
30908, thanks.   
28488,need more songs to download. suggestions? ill take anything   
1474,"changed my hairstyle,but it isn't good as it supposed to be~~n i don't think it wealthed that much money..  hate that hairdresser~~;(   "
17323,i wish saturday night fever was on again! i couldn't stay up lastnite for the whole thing   
8427, we've just 16c today&cold wind..  want it 2b like 25 to 30! i love hot weather! but i reaped the 1st strawberry yday!   
27866, it is my honor   
33087," yes, we just need ppl to vote. get out the vote. ;) ciao for now.  till tomorrow...is anybody listening? yes, i am.  night!   "
27463, a new baby? how exciting  congrats in advance   
34077, did they already get the tax money from helio for his winning of the pole position! ha ha!!   
6648,already feel like such an idiot on the phone and it makes it worse when brandon says i didn't say the right stuff   
37574, i did?!  yay! where did i get that extra 300 from? hmm.. anyway  i'm going to be partying hard when i get it   
10003,  that made me sad..   
8887,warren and hannah are dead ... oh my godd!! seriousslyyy this is a tragidy !   
26176,doneeee wheeee hahaaaaaaaa so tired and sleepy  peter u suck not coming to my bday!   
22531,day started off bad but got better   
6171," it's a modded 360, so you can't send it back?  that red ring of death sucks!  it took weeks to get mine back from microsoft.   "
27077,"i promise to post new mini magical village today, the weather is perfect for it   see preview here:    "
21892,6789998212 haha love soulja boys new song   
9816, - she is so cute really i really want to meet her  wish one day   
24911, don't worry  just sleep.   
22851, the geek in me won.  i am building my own photoblog theme...   
7850,grimestopper loss  client lost their job so we did too. hope the quote later today turns into more work. drowned my sorrows w a huge h ...   
21421," heh, thanks for that adorable plug  *cough* more info at:  *cough* *cough*   "
4877,good morning folks 13 more days to go! and sadly 2 more days of the giro  but that means the tour is not too far away   
37576,why is it that america celebrates mother's day on a different day to england? anyhooo...happy mother's day 2 all american mumzys!  x   
34639,finally got a twitter  follow me tweets <3   
34092,the coffee is in the making!   
33165, thank you  you too! i hope this turns out to be a top week for you.   
19041,goodbyeeee arizona. see you in 3 weeks.   
2357, the 14-24 is definitely going... sold the 70-200 and 200f2 is  too heavy  think i'll get away with the 50/85? #twedding   
26629, thank you. i needed that   
27991,almost in new york city   
21401, dont cry for me! i will see u tomorrow.  muah.   
29892,is going to see the hannah montana movie!!...lol...what a dork huh?!   
33546,goodnight tweeps.   
5225, aww... sorry for both of you.  may the lord give you strength and rest today!   
33942,on page 214 of 320 of betrayed by p.c. cast. really starting to enjoy this series   
10747,walmart bails on sponsorship!   
11325,i'm at work it's super slow and my baby is far away from me. all around crappy day.   
22621,"   that was flippin' sweet, dudes. thanks for sharing   "
18426, i want you to go walking with me!! but i still miss my satan   
24824," hi s, plz follow me   "
20462,wlcome  - i'm proud of my girlfriend   
11424,sunniest day in ages and im in bed   
8694, i have an even dozen.  thanks for reminding me. i quilt 2 and make 3. lol   
23997,score two days i get more food stamps good cause i want a safeway pizza   
26594,tea numver 7  (i may start on the coffee in a minute but that has way too much caffene in :s)   
37011," hahahaha. im listening to my itunes library, a bit of sonia dada atm,  its good   "
38550, anyone with big fingers  but i've loved it...   
12287,can't wait for this weekend...i need a break   
32705, good morning  good luck! belive in you   
34278," as a nj native, i thank u   "
31328,yay i hit 50 subscribers on youtube. go me  lol.   
26893, tear*   
26087," greatings from planet shannan, we have laded once again on your lanet & hopefull we come in peace =/ hmm...haiaa   "
24401,good luck on finals everyone!!!!!!!!!!!!!!!!!   
1485, i thought you were gonna be at the show   
16729," you guys could have fun in a cardboard box.. i miss you already, bro.   "
39282,"will do it  in a  couple od days , when i have  more time.,  for  now  i   need to  get some sleep. night night  all.  peace.!!!!   "
24809, can't wait to see you on december in switzerland for a third rendez-vous  great show ! you are just amazing  ... enjoy in oz   
30525,is responding to an email.   
35010," you're welcome!  actually, the all swedish fans are trying to get mcfly to  us! we are very close now   "
39592, thanks for following !   
15318,sad that the statue of liberty will completely reopen 2 weeks after our nyc trip.   
28501,listening to my future roomie speak in chapel   
29061,okay...so i have an aim account now...send me ur s/n's on there so i can add u...thx!   
32726, you are such a beautiful bride! you're gonna love the married life. it absolutely rocks! congrats to you both.   
27633,back to work   
28566,"home; just had yogurt factory, i love yogurt  also hung with my uncle and lucy   "
24699, really?  wooooo! i wish i could go to indonesia! lol. hopefully next summer.   
35170,artwork at 3am. gotta get this portfolio done for meca by wednesday. meeting with milonzzi to review it then.   
31523,had a greatttttt day    taking liz home now. <3   
30509,happy mother's day mang!!! thank you and i love you   
37570, welcome home babe!   
39420, or maybe start your own arabic teaching podcast?   
23691, miss you my dear   
17577,missing mrs mcfox   
19879, is a whore but she'll never know i said it cuz she doesn't love her twitter   
29046,whats this? a night out with ? sounds like trouble... the good kind   
30196, more gifts for you   
38883,#sanctuarysunday don't forget to post on the forums and fb about our mission success!!   
35694,hello twittttty world! how do you do?   
32303,snoops uncle who was the coolest dancer ever!!!!!!     
175, i don't think so.  i want details.   
15101,cleaning and packing. moving house is shit. it's going to be a long weekend....   
18085,off to ambers...a weekend of labour and hard work ahead!   
14361,getting ready for work.   
2807," daddy wanted to buy me shoes, but they were prettie esspensive, so nao i haff to go bearfoot   "
126,"need to pack for cali cali! cannot waittt! thinking a glass of wine is in order to celebrate my weekend vaca. still work 2morrow, tho.   "
29775," i simply loved the pic. i'm glad you're happy, that's makes me feel happy too  love you <3   "
24743,meeting  and friend tonight - going to discuss human trafficking issues. daly is chaplain/therapist and an interesting guy   
6351,back in manchester. whats with the weather? sweaty   
3848, i can't get it to load.  and i wanted everyone to see my bette davis eyes remix video today. boooooo   
14685,ap: north korea could opt for devastating land assault...  (via ) scary talk to say the least.  mm   
5495,wales here i am! 1st 2 weeks away in wales. but idk if the guys at school really like me...   
17784,now i feel sick.   
39836, yes! that sounds like a great idea. message me on lj about it   
2518,two day hangover   
7309, - i miss my babyyy   
20823, imma talk to ya later ishi goodnight kid   
22882, i know all about the awful shifts! and he should feel better after he gets tubes in his ears on may 12th but thank you   
7982,"it might be sunny today, but alas, new product must make it to etsy!   "
5143,someone stole my new laptop at the airport. haven't even used it. guess the us economy is breeding a new set of opportinists   
25686,is going to rye house speedway   
18951,it just occured to me..... tonight is cheri's prom night......i was suppose to go with her...... 970 miles makes that kind of difficult.   
23923,i'm new on twitter.....hi everybody!!! suggestions for me???   
33776,i feel really blessed to have super awesome best friends   
38469,orange vitamin water 10 is my new addiction  u should try it.   
33277,"friends are gone. sushi, movies, laughter. just what i needed. fun!   "
12869,at home and sore knee   
27291, and miss fizzy duck loves hive mind too   
11698, did you get fired?  *hugs*   
14474,the new lego rock band trailer looks pretty weird. they coulda done a better job making it     
38428,im home!  dinner with mum was delicious and nice  had a good time. happy mothers day to all mums   
23557,going offline. buhbye twit   
36442,"i really should rant about my bad day but i wont.  i am grateful for my mother, gma & other powerful & influential ladies my life!!! ily   "
18080,you not going nowhere bitch!   
33627, i'm sure u did!!! can't w8 4 2morrows shw!!! happy mommys day 2 me!!!   
26701, thanks  xxx   
22675," helooo, how wos work pretty, hope it was alright and a certain individual didnt ruin it.   "
11398,just hanging around the house. thank god its friday. with nina &  later and working on a global project   
34968," i love old school horror movies more, i got elvira tattooed on my back   "
5974,finished breaking dawn last night. i managed to finish those 800 pages in 3 days. it was so good! i'm sad that i'm done w/ twilight saga   
15849,mayday?!   
23703, have you been going to the trop for the last 5 years?  no more games for you!   
13527,just got done working out....relaxing than off to work   
7958,there  was just a horrific fight at my school  glad everyone is ok and that it's friday.   
24707," sounds good  maybe some player quotes, photos etc i'm living in wa atm so would love bits and pieces from the ady and sun   "
21242," thanks for adding, no befriending, no, uh oh never mind, thanks!   "
29526,correction...a hot coco in my nkotb cup  what a sweety!!!!   
12117,twitter is trippin right now with my pic   
12831,"enjoying a beautiful day off by hanging around the house. pam is making a cake, but she won't give me any   "
17346,... looks like it's gonna rain   
17675,"whatever. i give up, my phones about to die anyway.  next time   "
31439, haha. okay.  have fun with that. haha.   
20376,is back from tafe and has bowling in about an hour   
22455, make a videoblog!   
4266, twitpic won't show me the picture   
25966,friends coming tonight! hopefully the weather will stay nice   
25506, by saying a big hello to you!   
38133, aww... my mom will appreciate it   much the same to your familias! when do you leave for tour?   
20495,late news then it's off for some much needed zzzzzzz.......goodnight tweets.   
37914,good morning  i ate pizza for breakfast   
13523, i'll do whatev but i dont have anything to wear   
23851, hope it's a great one for ya     
28801,  - awesomeeeeee   
9294,why bother  at celebs? eh? cause it's almost like talking to them   
35302,"beautiful sunny mornig here in london, time for the morning meditation and some inspired living     "
21416, thanks. feel so happy 2 make ur day a great one. enjoy it 2 the fullest n have fun always   
16260,is watching sicko and is utterly digusted with this country...   
31102, welly's the pinball wizard.  #canucks   
29248, it was fun  ate at mas.thanks!!  good luck w/ ur showing tomorrow.   
7227, i hate june gloom. i was getting so excited for the beach.   
38564, thanks   
14263,whuuurrrrr - glands really swollen now. guess the weekend's a blow out.   
3552, ahhh so jealous!  have a nice time and i'll see you when you get back x   
19067,  - can you lend me one? i have a cold too   
26984, thanks bro.   
38184, checkin that out right now   
21193, just one part of a very odd trip. you travel for 3 months you see some weirdness. loved perth though   
29795," no prob, you have a sexy site there   "
24014," congratulations, i hope you have an amazing day   "
24289,i am going to be disgraced with myself for life if i don't make it in next year. being a perfectionist sucks. good luckkkk   
17054,i think i have a fever   
37495, grace's funzen magic mood tool for keeping her cool in the pool of real life which is now yours too   
20891, good song   
33415,good morning twitterers   
36900, i think you should follow me. as i only have on follower. stalk me please   
10097, u don't love me  no follow..how was your night? ;-)   
10225, yeah... i suppose   
28446,i am listening this song shattered by tynisha keli      
22698, umm don't ya mean ship   
11626,disappointed the didnt win teh glasses.   
24436, hello pal..nice 2 c u today...have a gr8 week   
28991, we do! its been to long! i think i have next weekend open. when are you going to have the house warming party   
14016,watching qi on dave - still quite bored! not even adam davis can cheer me up.  and he's quite funny.   
20457,is gonna have an irish wedding   
20564,"watched yes man, it was good     "
32648, hot cuppa coffee made with milk & fortified with monin's irish coffee syrup! bliss!   
26057, i love lion knig ....it was my fav movie when i was a kid...i love it till now   
28358,  - soak your had in hot water (but not boiling) for about 30mins - it'll pull them right out   
27250, i bet so   
33073,ugh i hate photobucket! an amazing place to edit pictures is:   i use it alll the time.   
26003, and by music i meant awesome christian artists.   
6255,my friends are mocking my weekend!   have they been talking to you?   
20658,"zelda fans!!! pand_i - zelda: the minnish cap, and a want for more music taste: zelda = epic  i&#..    "
34074,thank you for the advice   i'll work on that when im not at work.   
16047, i'm honestly incredibly upset we couldn't make it. devestated even. we would have lost a whole travel day and it just sucks   
27951,"ok i just spent like 50 on soundtracks, a galaxy class starship and eve online. sigh   "
26910, ahhh you follow the dark side too..  night   
2842,owww i think i tore something in my leg   
11819,im a bad blogger!! i have not blogged in weeks~ oops!   
32698,love ice cream... love cake... cookies and cream ice cream cake tops them both   
20647,anyone to recommend me jp artists with music similar to soichi negishi's amai koibito?   
35934,"the sun is shining brightly and the day has just begun! what's in store? wandering around les calanques maybe? vin, definitely!   "
14297,just saw up with my favorites and surprisingly it was way too sad   
3064,"#liesboystell your the only one, i love (they really have several women)   "
26964, i thought you might like that  getting ready to see me in a few weeks?   
30785,"got back from the party...suprisingly awesome, need to dance more often! overall, awesome night   "
27311,round two of vega: vanilla chai flavor.  just realized that i have only 45 days left   
33801,relaxing with my daughter watching friends   
18261, i need one too.   
5227, rlly dead?  descanse em paz... #luto #sad #rip   
6159, what?! miley's gonna quit hannah montana?...i don't wanna believe it!   
15043,who builds a hotel without air-con? bloody boiling in here...   
20948,"blame it on the goose gotcha feelin loose, blame it on the tron gotcha in the zone;; michelle...this is your fault. lol.   "
38294,"that's the way it crumbles, cookie-wise   "
6298, i feel your pain. mine is the same way   
24125,happy star wars day everyone  any excuse for a few drinkies eh?   
764,ran out of money. i r a sad panda   
23518," its great when locals stop you to ask for directions, and even better when you know the answer   "
30401, that's what we hope for!   
31108,"watching steel magnolias then going to bed. i have to babysit at one tomorrow. then give mommy her gift!  night, <3 peace.love.jonas   "
36615,well off 2 bed...cant wait 2 party 4 mother's day in like 14 hours or so   
1220, popularity contest and they think twitter will help.... and it's become trendy   
29440,i'm watching the episode 3 of jonas omj   
22917,just finished eating   
11095,i hate when my alarm doesn't go off   
12732,fuck the day flies when u got 3647 things to do and only 8 hours to do it in!!   
36081, one of my favorite quotes ever   
20047, oh! good idea about putting them on ice cream   
7873, -  hate when my parked car gets hit   
30308,is hungryyyyyyy!! going to eat traditional indian food...the pakistani way. woowoo!  hahaha! >[_()\/3   
29488," not living, just trying to earn the grocery money.  i do enjoy eating at least once a day!   "
22514," hey! im rly sick atm, so i cant stay and chat, but hope ur well   "
39214, morning   
24435,listening to david archuleta album it's amazing   
19481, i missed the chicago show  boo me.   
18789, nvm i just got ur message that ur sick   
23583, hey tom. have your plans to make an concert in denmark this year?  please reply xxx   
4301,back home  had a great time!   
38402," - leisure bay beach  (i see the pic. wasn't uploaded last time, grrr!)   "
34693, catt i totally love your default picture! you seem like such a fun mom!   
11710,there's no point in bein on here if no one else in on   
23013," ooh, cutting. i like you   "
11269,help. my computer has a virus. i had to place my etsy shop into vacation mode until i can sort this out. i don't know what to do!   
20334, followed your bro    
38559, lmao...but you'll still have me! i am thoroughly enjoying our conversation   
5025, - yep. drank bawls this morning  ... no more bawls for me. this will be my last.   
7882,i saw amazing heeels. but they were too big   
9741,still can't sleep..missin' my dobby...   
24367,trued a rim!  i'm getting good at this! o_o   
34766,what am i doing drinking a shitload of water to get rid off me hangover then training at 9am   
35829,"god, i love quizzes. when i get my phone im gonna be on it 24/7 doing facebook quizzes.   "
2721,"damn, got chili beans on my shirt  i hate that i can be a messy eater. such a lady!   "
32140,it is mothers day somewhere     
25263, haha ie...it's expensive!!!! hm...let me message you later   
31084,snl is gonna be great tonight   
32583,shakedown street!!!   
9638, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no   
32997, so see you on my birthday visit me  haha why wack saturday ?   
4274,"head is pounding.  well not really pounding, more like tapping i suppose.  homework time.   "
32440, i hope so! my sister lives there!   
36331,just started twittering   
19816, ugh im not a vip  im always vippppppp   
29448, please bring  to your show   
12796,"plan for this evening: dinner, shopping for dress shirts, watching up, going to bed. plan for saturday: funeral for a friend...   "
29727, happy birthday in 2 hours and 54 minuets  haha   
12609,done with the missourian for the day. no call back from sturtz...   
21448, ummm ... have you looked on your head?   
237,i think the vog is making me sicker than i think. feeling slightly achy   
28239, idk... maybe...   
5656,just waking up...ahh i have a headache   
26322,i'm glad we did a good job   
29146,watching die hard 2. i <333 jeremy irons   
1404, is tweeting so much that she's not even paying attention to me!   
34018, soo like when this shows up on your wall....go to the right side of the post and a reply will show up  tweet   
13890," my favorite song is 'im standing here but you dont see me, i'd give it all for that to change' i dont know what its called   "
4757,im gonna fail this test miserably in history   
4773,getting my phone taken away   
39465,i found a prom dress   
21742, that depends on how many itty-bitty-kitties want to sit on my lap   
7633," southridge was moved a week later cause of swine flu, i think   "
36652,  one of my prized mags/book/annuals dunno if any others were published prolly should google it   
7809,i woke up just now missing alabama terribly  my dad says we will be moving there. soon. thank god   
19157, *hugs*  still feeling poorly are you   
8942, endodontist should be able to do it without removing it. just hope my ceramic crown doesn't shatter some time later   
33854,"this is original from yours truly...  if you want to become wealthy, learn the things most ppl say they don't have time for -me   "
1586,"changed my hairstyle,but it isn't good as it supposed to be~~n i don't think it worthed that much money..  hate that hairdresser~~;(   "
9213,yay! the playdate is back on but my van's transmission is  dead   
31279,"back from soap, soooo fun.   "
27376, classes. n bout to make sum breakfast..   
37522," you're welcome. i'm going to repost several times to get the message out, maybe help another dog   "
18581,well this is just lovely.  i am completely flattened by a back injury.  there goes the weekend.   
37097,wants to wish all the moms out there (and moms-to-be) a very happy mother's day!   
29019,i have a crush on someone!   
10617, well....not the spurs!!!   
12624,my beautiful lil cousin  is going to prom today...sad  i can't be there..but i know shes gonna look beautiful as always...   
38138,listening maroon 5 .... songs about jane is one of my favourite albums in time   
18409,i got into a fight with the pavement. i think it won  poor little knee   
21610, wishing you were here too babe.. we'd have a ball   
34269,goodnight peoples!   
17644,i hate the dryer.   
8126,finishing one shift in 37 mins... drive half an hour and start all over again till 1am...and back in  11am tomorrow .. and its sunny   
33957, happy birthday justin! have a lof of fun!!! god bless   
8161,   i tried that pincode... and it says it is expired... you only just put it up.   
26792,wake~n~bake monday   
29991,  thanks mr. dj!   
9197,ah shit ... my chest hurts now   
35535," i think i am a bit, in love with his creations and wit but not that physically attracted to him although he has great style   "
19450,"jesus...i'm being slammed via dm's from the papaya lobbyists.  ok. holy crap: mangosteen, durian or papaya...or cybersecurity on a stick.   "
14683, nah i understand you cant cancel i just wanted you to come   
35015,read twilight and new moon keen to read eclipse and breaking dawn hmm twilight was better then new moon but there still awesome   
39309, sure thing!   
17525,"hummmmm..... ohh  i miss you so much!!! really, but i hope you have a nice friends, like us :]   "
28822,laying in the bed boreddddd looking through old cookbooks for new recipes   
11663," yeah, tried it. no go.   "
31796, how is aussie...im hopin to be there in sydney in less than a week just got my visa on thursday whoot whoot   
27306, done. thank you   
33674, ps love the new profile pic!   
19491," welcome back to the bay area. does in and out call to you?  wish i could meet ya at the meetup, but i'll be working a gig.   "
27073, der maaaaster is back   
18732, u think u have bills ha!ii just finished paying mine that's y i'm broke   
9771,no 10th  2 months=]   
31358,finally packed...thinking its time for some sleep! ready for chicago!   
23871,must start twitting   
39290, i like it    #masterchef   
20477," omg and you never would believe what we did. ahaha, i loved it. but it felt like a movie, but real!!   "
4264,job hunting. yay.....   
11351,stupid freshmen ruined theatre class.. now we don't get to play warm-up games for the rest of the school year   
30729,oops!  my mom accidentally signed into my twitter account to comment on my pictures!   
18940,more depressed ty very much!!!   
622,last night in newport   
19206,..dat dude look crazy w/ dat hair on his face lmao ..stop it!! ..the old wrestlers went to tna  thanks vince ..these dudes are clowns lol   
30462, follow me please!   
4720,"ahh, i forgot about the test today   "
37207, it's a she and she's way too stubborn right now. thanks for caring though   
4578,"*sigh* my  usb died on my this afternoon. r.i.p, you will be missed! i hadn't even had the chance to parade you around yet   "
22466," hey chiclit whats happening? just trying to promote my business, it's really hard!   "
2880,it's too hot to be sat in an office!  i wanna be out in the sun shineeeee.   
8004, i need a hug  i'm doing my junior cert this week and i'm totally stressed out :'(   
16249," yo nate, what's going on with morgie? is she ok??   "
8927,just got notified my podcast was accepted into itunes.  of course i then realized it was miss formated  fixed now.   
33442, thanks my girl. true bff!   
14445,  linda ~ what do you mean by your last post??  it doesn't sound good   
5575, ya i heard 7 was a giant leap in the right direction. this is a work comp though  ill enquire!   
3599," yup, 1987 lol. sweet year  haha   "
26098," i am behind the times, i hadnt loaded any songs from the block til now.. what do u hav to offer?!?!   "
35450, - wait for the third day!!   
13522,"  it sucks, doesn't it?   "
18809,rachel alexandra not in belmont   but appearing in vogue.  best looking model they've had in years.   
1160,just got up and going to get ready to go to meadowhall ;) can't believe my internet broke yesterday  gutted   
35341, there are other signs too  of twitter addiction!!  levels from 1 to 6.... lol i am probably on level 4 ... lol   
14718,princess sakura is mine  therefor i want to use it on tj! grr   
36654,wishing all moms a very happy mother's day!!   
36233,"partied w/  , elitecamp, rock steady crew + the ladies (wow), and of course crazy legs - holla! lmao - sober. totally sober   "
32672, & then when he left i changed it back   
26228," please don't tell me they've cut the price of macbooks.. although if photoshop has been reduced, that'd be great   "
7316,because i just lost my first field notes notebook 6 pages before filling it up!! rip  #fieldnotes   
7995, oh wow  thanks for the info.   
21831,"its a real shame that its not nice and sunny outside, it would of been nice to have another bbq  nvm....   "
18921,"wow, its hot and miserable. people are probably killing themselves right about now...   "
1765,"it's about rain here, or it's just plain cloudy. i don't know which...   "
18993,"i'm twitter dumb. just saw  & all the kind folks who've tweeted me. ah!so sorry, i'm not ignoring you, just slow.   "
198,()  umm yeah. that's probably a pretty good note to self because eeeeeewwwwwwww.   
36723,who's for a boiled egg with soldiers?   
36964, bacoor  wahaha may wifi toinks new hair wiih short.. short..    
5190,  passed away   
16130,"and jenny is so gorgeous --' pffff i love her style, i want her outfits   "
402, i'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages   
35124, hha yeah  like they have your heart too but weve met shaun and bradie... it seems more real ;)   
5570,today seems like it should be a good day! even though my fuel pump is going out on my car  *~xoxo~*   
33509,happy mother's day to all the wonderful mommies out there  i love you mom!!   
35602, weird. i tot it will usually rain east coast first. and east coast usually gets more rain.   
25011, - and yes i like the vids   
76, neither are elp!!   
16085,one of the most random phone calls ever. my god kill me now.   
7956,this morning i rode behind a guy with a bird cage containing a plastic tyrannosaurus rex attached to his bicycle. i couldn't get a photo.   
15268,"still  hospital, unexpected complications   "
18528, excited about the new pushing daisies episodes but it makes it that much worse.  i had finally gotten over the cancellation.   
18818,#myweawkness chocolate...i can't say no   
8677,i have a empty house and no ine to share it with   
5090, looks like we're on the exact same track  nothing worse than not being able to fix things for someone you love.   
7861,the poor pirate had out his last wisdom tooth and is looking really peaky.   
13746,last scheduled corn dog oc shift   
24663, i am so stoked on seeing you with the jonas brothers   
24340,installed ubuntu 9.04 on my office lap! yaaaaaaaaaaaay!   install under windows feature rocks!! #awesome #ubuntu #excited   
14899, no sign yet   
6343,"it's so slow, and i want to go home already   "
37832," *laughs* i'm glad that you have self confidence - it's a wonderful trait to have  i'll applaud extra loud for it, okay?   "
3004, i am fine. just having a headache for days now   
5336, i'm not part of that generation unfortunately.  this is really good though   
31402, i sent you a message.   
3981,needs to mug for chinese a's but doesn't feel like it.   
31209, pride next weekend in long beach!!   
3089,my car broke down.   time to start looking at getting another.  if its not one thing its another.   
15508,i need a freaking adventure.   
13971, me too! yay he got in. and the other kid who cries a lot   
5740,sad day*lakers please make me happy with a w   
398,ready to go  school   
36320, you're a good friend dave.. we can wait!! hope we dont have to wait too long though   
28322,step-by-step i'm leaving it all behind   
9892,"i can't wait to start my weekend. i'm so sick of working, i have to self-medicate, and i'm fresh out of herb   "
30302,"all right, time for happy face.   "
9556, ....back to a frizz head again   
36643,"  - we're getting closer rather than further from real lobby dates - chicago, blogher09 - squee!!!   "
19946,i don't wanna work!   
26716, whew!  i'm just going to focus on family time and more swim suit shopping for the rest of my vacay! thanks for the kind words   
10967,tonights a great night for sports. the yanks and lakers are both playing. i want to watch the games but im still scared to drink.   
28003,  out of commish for a few days in atl with fam.  just saw the updates to the .net website... looks awesome!   
24694,today is going to be a good day!! on my way to work spending time with jesus   
33995, thanks x x it went really well. i'm tired now though  hope you spoiled your mum-in-law   
34678,watching jackass. then bed   
15438,"going to my bff's. haha. but thats in like 2 hourssss sooooo...calllll me. actually darn, i have hw   "
8278,is anyone there?  please say hello - i'm feeling lonely   
39456,happy mother's day to all moms out there!  i just played tong-its a while ago.   
7461, where ya at girlie...haven't heard from you in a while  missing your cheery disposition...lol   
20253,bank holiday mondaaaaaay   exams tomorrow  d:   
20734,  - guess i need to get me an iphone now for sure!!!  it looks bad ass!!   
14881, i corrected myself   
6872,i think at this rate.. ill be in class until 4... sigh.   
11001," - love your desserts. used to live in or but now live in tx, so can't visit you.   "
16049, are you feeling better? sorry you're feeling under!   
